"group","count","prop","hh.type","typology","code","country","year","subregions","regions"
"old_female",40290,0.154397394136808,"single","inter",51,"Armenia",2011,"WAS","AS"
"old_female",34090,0.130638053266909,"one gen","inter",51,"Armenia",2011,"WAS","AS"
"old_female",47730,0.182908603180686,"two gen","inter",51,"Armenia",2011,"WAS","AS"
"old_female",132980,0.509599540141789,"three+ gen","inter",51,"Armenia",2011,"WAS","AS"
"old_female",5860,0.0224564092738072,"skipped","inter",51,"Armenia",2011,"WAS","AS"
"old_male",12260,0.0671376156836975,"single","inter",51,"Armenia",2011,"WAS","AS"
"old_male",37000,0.202617600350474,"one gen","inter",51,"Armenia",2011,"WAS","AS"
"old_male",42320,0.231750725590055,"two gen","inter",51,"Armenia",2011,"WAS","AS"
"old_male",88080,0.482339411861344,"three+ gen","inter",51,"Armenia",2011,"WAS","AS"
"old_male",2950,0.0161546465144297,"skipped","inter",51,"Armenia",2011,"WAS","AS"
"total",92810,0.0307489952986936,"single","inter",51,"Armenia",2011,"WAS","AS"
"total",157290,0.0521119434385467,"one gen","inter",51,"Armenia",2011,"WAS","AS"
"total",1325470,0.439143096633547,"two gen","inter",51,"Armenia",2011,"WAS","AS"
"total",1416550,0.469318923503551,"three+ gen","inter",51,"Armenia",2011,"WAS","AS"
"total",26190,0.00867704112566304,"skipped","inter",51,"Armenia",2011,"WAS","AS"
"young_female",23560,0.0180034234013938,"single","inter",51,"Armenia",2011,"WAS","AS"
"young_female",48290,0.0369009047560827,"one gen","inter",51,"Armenia",2011,"WAS","AS"
"young_female",617150,0.471596466560704,"two gen","inter",51,"Armenia",2011,"WAS","AS"
"young_female",610570,0.46656834576354,"three+ gen","inter",51,"Armenia",2011,"WAS","AS"
"young_female",9070,0.00693085951827852,"skipped","inter",51,"Armenia",2011,"WAS","AS"
"young_male",16700,0.0131900071873692,"single","inter",51,"Armenia",2011,"WAS","AS"
"young_male",37910,0.0299421061361177,"one gen","inter",51,"Armenia",2011,"WAS","AS"
"young_male",618270,0.488322499624835,"two gen","inter",51,"Armenia",2011,"WAS","AS"
"young_male",584920,0.46198197628958,"three+ gen","inter",51,"Armenia",2011,"WAS","AS"
"young_male",8310,0.00656341076209808,"skipped","inter",51,"Armenia",2011,"WAS","AS"
"old_female",40290,0.154397394136808,"single","un",51,"Armenia",2011,"WAS","AS"
"old_female",60450,0.23165357348151,"nuclear","un",51,"Armenia",2011,"WAS","AS"
"old_female",2370,0.00908219965510634,"complex","un",51,"Armenia",2011,"WAS","AS"
"old_female",157840,0.604866832726576,"extended","un",51,"Armenia",2011,"WAS","AS"
"old_male",12260,0.0671376156836975,"single","un",51,"Armenia",2011,"WAS","AS"
"old_male",67550,0.369914024423635,"nuclear","un",51,"Armenia",2011,"WAS","AS"
"old_male",1450,0.00794041947319424,"complex","un",51,"Armenia",2011,"WAS","AS"
"old_male",101350,0.555007940419473,"extended","un",51,"Armenia",2011,"WAS","AS"
"young_female",23560,0.0180034234013938,"single","un",51,"Armenia",2011,"WAS","AS"
"young_female",551630,0.421529221176183,"nuclear","un",51,"Armenia",2011,"WAS","AS"
"young_female",13710,0.0104765252475853,"complex","un",51,"Armenia",2011,"WAS","AS"
"young_female",719740,0.549990830174838,"extended","un",51,"Armenia",2011,"WAS","AS"
"young_male",16700,0.0131900071873692,"single","un",51,"Armenia",2011,"WAS","AS"
"young_male",553680,0.437307974820513,"nuclear","un",51,"Armenia",2011,"WAS","AS"
"young_male",13630,0.0107652573631043,"complex","un",51,"Armenia",2011,"WAS","AS"
"young_male",682100,0.538736760629013,"extended","un",51,"Armenia",2011,"WAS","AS"
"total",92810,0.0307489952986936,"single","un",51,"Armenia",2011,"WAS","AS"
"total",1233310,0.40860945363465,"nuclear","un",51,"Armenia",2011,"WAS","AS"
"total",31160,0.0103236579410332,"complex","un",51,"Armenia",2011,"WAS","AS"
"total",1661030,0.550317893125623,"extended","un",51,"Armenia",2011,"WAS","AS"
"old_female",447820,0.384009192484801,"single","inter",112,"Belarus",2009,"EEU","EU"
"old_female",289230,0.248017012956945,"one gen","inter",112,"Belarus",2009,"EEU","EU"
"old_female",242690,0.208108594801787,"two gen","inter",112,"Belarus",2009,"EEU","EU"
"old_female",158820,0.136189406347273,"three+ gen","inter",112,"Belarus",2009,"EEU","EU"
"old_female",27610,0.0236757934091942,"skipped","inter",112,"Belarus",2009,"EEU","EU"
"old_male",99690,0.160611577438013,"single","inter",112,"Belarus",2009,"EEU","EU"
"old_male",314180,0.506178607678551,"one gen","inter",112,"Belarus",2009,"EEU","EU"
"old_male",124710,0.200921555043581,"two gen","inter",112,"Belarus",2009,"EEU","EU"
"old_male",72850,0.117369379239233,"three+ gen","inter",112,"Belarus",2009,"EEU","EU"
"old_male",9260,0.0149188806006219,"skipped","inter",112,"Belarus",2009,"EEU","EU"
"total",1145150,0.121747534005107,"single","inter",112,"Belarus",2009,"EEU","EU"
"total",1503240,0.159818157462199,"one gen","inter",112,"Belarus",2009,"EEU","EU"
"total",5091720,0.541330265768227,"two gen","inter",112,"Belarus",2009,"EEU","EU"
